Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,ZIP Code,SWIS Code,DEC Region,Spill Date,Received Date,Contributing Factor,Waterbody,Source,Close Date,Material Name,Material Family,Quantity,Units,Recovered
9713569,BREUKELEN HOUSES -NYCHA,618 EAST 108TH ST,,BROOKLYN,Kings,,2401,2,3/6/1998,3/6/1998,Unknown,,"Institutional, Educational, Gov., Other",,#6 fuel oil,Petroleum,0,Gallons,0
1610110,BRICKS,2418 MATTHEWS AVE,,BRONX,Bronx,,301,2,2/6/2017,2/6/2017,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,0,,0
812579,BRIDGES JUVENILE CENTER,1221 SPOFFORD AVE,,BRONX,Bronx,,301,2,2/18/2009,2/18/2009,Equipment Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,,0
8303209,BROADWAY/W. 131ST ST,BROADWAY N/O W. 131ST ST,,MANHATTAN,New York,,3101,2,3/18/1984,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"4,000",Gallons,0
8102002,BROADWAY/W. 132ND ST,BROADWAY S/O W. 132ND ST,,MANHATTAN,New York,,3101,2,2/11/1982,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"1,000",Gallons,0
9810571,BRONX EAST 03A DOS -DDC,1661 WEST FARMS ROAD,,BRONX,Bronx,,301,2,11/20/1998,11/20/1998,Equipment Failure,,Commercial/Industrial,,diesel,Petroleum,0,Gallons,0
201915,BRONX EAST 09/10  DOS -DDC,850 ZEREGA AVENUE,,BRONX,Bronx,,301,2,5/22/2002,5/22/2002,Equipment Failure,,"Institutional, Educational, Gov., Other",,hydraulic oil,Petroleum,0,Gallons,0
201915,BRONX EAST 09/10  DOS -DDC,850 ZEREGA AVENUE,,BRONX,Bronx,,301,2,5/22/2002,5/22/2002,Equipment Failure,,"Institutional, Educational, Gov., Other",,motor oil,Petroleum,0,Gallons,0
8809277,BRONX EAST 09/10  DOS -DDC,850 ZEREGA AVENUE,,BRONX,Bronx,,301,2,11/18/1988,3/1/1989,Unknown,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Pounds,0
1408562,BRONX PSYCHIATRIC CENTER,1500 WATERS PLACE,,BRONX,Bronx,10461,301,2,11/19/2014,11/19/2014,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,300,Gallons,0
9810588,BRONX WEST 02 DOS -DDC,650 CASANOVA STREET,,BRONX,Bronx,,301,2,11/20/1998,11/20/1998,Unknown,,"Institutional, Educational, Gov., Other",,diesel,Petroleum,0,Gallons,0
9908442,BROOKLYN BATTERY TUNNEL,160 HAMILTON AVENUE,,BROOKLYN,Kings,,2401,2,10/12/1999,10/12/1999,Equipment Failure,,"Non Major Facility > 1,100 gal",,#2 fuel oil,Petroleum,0,Gallons,0
9908442,BROOKLYN BATTERY TUNNEL,160 HAMILTON AVENUE,,BROOKLYN,Kings,,2401,2,10/12/1999,10/12/1999,Equipment Failure,,"Non Major Facility > 1,100 gal",,gasoline,Petroleum,0,Gallons,0
9908442,BROOKLYN BATTERY TUNNEL,160 HAMILTON AVENUE,,BROOKLYN,Kings,,2401,2,10/12/1999,10/12/1999,Equipment Failure,,"Non Major Facility > 1,100 gal",,waste oil/used oil,Petroleum,0,Gallons,0
9905681,BROOKLYN COLLEGE,2900 BEDFORD AVE,,BROOKLYN,Kings,,2401,2,8/11/1999,8/11/1999,Unknown,,"Institutional, Educational, Gov., Other",,#6 fuel oil,Petroleum,0,Gallons,0
9513357,BROOKLYN EAST 17 DOS -DDC,105-02 AVENUE D,,BROOKLYN,Kings,,2401,2,1/23/1996,1/23/1996,Tank Test Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9200212,BROOKLYN NORTH 03/03A DOS -DDC,306 RUTLEDGE STREET,,BROOKLYN,Kings,,2401,2,4/7/1992,4/7/1992,Unknown,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Pounds,0
9200212,BROOKLYN NORTH 03/03A DOS -DDC,306 RUTLEDGE STREET,,BROOKLYN,Kings,,2401,2,4/7/1992,4/7/1992,Unknown,,"Institutional, Educational, Gov., Other",,hoist oil,Petroleum,0,,0
130003,BROOKLYN NORTH 04 DOS -DDC,525 JOHNSON AVENUE,,BROOKLYN,Kings,,2401,2,5/20/1994,5/2/2001,Other,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9709638,BROOKLYN NORTH 05 DOS -DDC,606 MILFORD STREET,,BROOKLYN,Kings,,2401,2,11/19/1997,11/19/1997,Equipment Failure,,"Institutional, Educational, Gov., Other",,diesel,Petroleum,0,Gallons,0
9709638,BROOKLYN NORTH 05 DOS -DDC,606 MILFORD STREET,,BROOKLYN,Kings,,2401,2,11/19/1997,11/19/1997,Equipment Failure,,"Institutional, Educational, Gov., Other",,hydraulic oil,Petroleum,0,Gallons,0
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,2401,2,8/3/2000,8/3/2000,Unknown,,Commercial/Industrial,,waste oil/used oil,Petroleum,0,Gallons,0
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,2401,2,8/3/2000,8/3/2000,Unknown,,Commercial/Industrial,,motor oil,Petroleum,0,Gallons,0
5325,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,2401,2,8/3/2000,8/3/2000,Unknown,,Commercial/Industrial,,lube oil,Petroleum,0,Gallons,0
9703288,BROOKLYN NORTH 08 DOS -DDC,1755 PACIFIC STREET,,BROOKLYN,Kings,,2401,2,6/16/1997,6/16/1997,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
1103723,BROOKLYN VA MED CTR - TTF,179 -00 LINDEN BLVD,,JAMAICA,New York,,3101,2,6/30/2011,7/5/2011,Tank Test Failure,,"Institutional, Educational, Gov., Other",,diesel,Petroleum,0,,0
9310764,BROOKLYN WEST 06 DOS -DDC,127 2ND AVENUE,,BROOKLYN,Kings,,2401,2,12/6/1993,12/6/1993,Unknown,,Commercial/Industrial,,diesel,Petroleum,0,Pounds,0
9611002,BROOKLYN WEST 07 DOS -DDC,5100 1ST AVENUE,,BROOKLYN,Kings,,2401,2,12/6/1996,12/6/1996,Other,,Commercial/Industrial,,waste oil/used oil,Petroleum,0,Gallons,0
9930020,"BROTHERS FOREIGN CAR SPECIALISTS, INC",2151 FOREST AVENUE,,STATEN ISLAND,Richmond,10303,4301,2,1/12/2000,1/12/2000,Equipment Failure,,Gasoline Station or other PBS Facility,,diesel,Petroleum,0,Gallons,0
9930020,"BROTHERS FOREIGN CAR SPECIALISTS, INC",2151 FOREST AVENUE,,STATEN ISLAND,Richmond,10303,4301,2,1/12/2000,1/12/2000,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9706683,BROWNSVILLE HOUSES -NYCHA,307 BLAKE AVE,,BROOKLYN,Kings,,2401,2,9/4/1997,9/4/1997,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
1708148,BROWNSVILLE SUB STATION,247 WILLIAMS AVE,,BROOKLYN,Kings,,2401,2,11/28/2017,11/28/2017,Equipment Failure,,Commercial/Industrial,,transformer oil,Petroleum,0.13,Gallons,0
9914635,BROWNSVILLE SUBSTATION TR #1,247 WILLIAMS STREET,,BROOKLYN,Kings,,2401,2,3/27/2000,3/27/2000,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,1,Gallons,0
1704384,BROWNSVILLE SUBSTATION,247 WILLIAMS ST,,BROOKLYN,Kings,11226,2401,2,8/2/2017,8/2/2017,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,10,Gallons,0
1708172,BROWNSVILLE,247 WILLIAMS ST,,BROOKLYN,Kings,,2401,2,11/29/2017,11/29/2017,Equipment Failure,,Commercial/Industrial,,transformer oil,Petroleum,0.5,Gallons,0
1708149,BROWNVILLE SUB STATION,274 WILLIAMS ST,,BROOKLYN,Kings,11207,2401,2,11/28/2017,11/28/2017,Equipment Failure,,Transformer,,transformer oil,Petroleum,1,Gallons,0
9412605,BRUCE RIBELNON OMNI MALL,473 PRESIDENT ST,,BROOKLYN,Kings,,2401,2,12/20/1994,12/20/1994,Tank Test Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,0,Pounds,0
111041,BRUCKNER SUBSTATION TR #4,880 EAST 134TH ST,,BRONX,Bronx,,301,2,2/20/2002,2/20/2002,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,4,Gallons,0
807597,BUCKEYE PIPELINE,STAKE 145+00,,JAMAICA BAY,Queens,,4101,2,10/6/2008,10/6/2008,Equipment Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9813881,BUCKEYE PIPELINE,30-25 GREENPOINT AVE,,LONG ISLAND CITY,Queens,11378,4101,2,2/16/1999,2/16/1999,Equipment Failure,NEWTOWN CREEK,"Non Major Facility > 1,100 gal",,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
9813881,BUCKEYE PIPELINE,30-25 GREENPOINT AVE,,LONG ISLAND CITY,Queens,11378,4101,2,2/16/1999,2/16/1999,Equipment Failure,NEWTOWN CREEK,"Non Major Facility > 1,100 gal",,gasoline,Petroleum,"1,000",Gallons,0
1611449,BUCKINGHAM APARTMENTS,144 - 67 41ST AVE,,QUEENS,Queens,,4101,2,3/23/2017,3/23/2017,Equipment Failure,,Commercial/Industrial,,#4 fuel oil,Petroleum,"1,000",Gallons,0
8908084,BUILDING 199 @CAREY TRANS,JFK AIRPORT - BUILDING 199 @CAREY TRANS,BUILDING 67,JAMAICA,Queens,,4101,2,11/14/1989,11/14/1989,Tank Test Failure,,Commercial/Industrial,,diesel,Petroleum,0,Pounds,0
8807617,BUILDING 207,JFK AIRPORT - BUILDING 207,BUILDING 67,JAMAICA,Queens,,4101,2,12/16/1988,12/16/1988,Tank Test Failure,,Commercial/Industrial,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
8807617,BUILDING 207,JFK AIRPORT - BUILDING 207,BUILDING 67,JAMAICA,Queens,,4101,2,12/16/1988,12/16/1988,Tank Test Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Pounds,0
9805718,BUILDING 300 @HERTZ RENT,JFK AIRPORT - BUILDING 300 @HERTZ RENT,BUILDING 67,JAMAICA,Queens,,4101,2,8/7/1998,8/7/1998,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,Gallons,0
1501142,BUILDING B,55 - 57 PARK TERRACE EAST,,MANHATTAN,New York,10034,3101,2,5/1/2015,5/1/2015,Equipment Failure,GROUND WATER,Commercial/Industrial,,#6 fuel oil,Petroleum,0,,0
1501143,BUILDING C,65-67 PARK TERRACE EAST,,MANHATTAN,New York,10034,3101,2,5/1/2015,5/1/2015,Equipment Failure,GROUND WATER,Commercial/Industrial,,#6 fuel oil,Petroleum,0,,0
1501141,BUILDING D,75-77 PARK TERRACE WEST,,MANHATTAN,New York,10034,3101,2,5/1/2015,5/1/2015,Equipment Failure,,Commercial/Industrial,,#6 fuel oil,Petroleum,0,,0
1611029,BUILDING,558 WASHINGTON AVE,,NEW YORK,Kings,,2401,2,3/9/2017,3/9/2017,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
9010043,BUILDINGS 58/60 @TWA,JFK AIRPORT - TERMINAL 5,,JAMAICA,Queens,,4101,2,12/12/1990,12/14/1990,Unknown,,Unknown,,unknown petroleum,Petroleum,0,Pounds,0
9106609,BULK FUEL FARM TERMINAL,JFK AIRPORT - BULK FUEL FARM TERMINAL,,JAMAICA,Queens,,4101,2,9/19/1991,9/19/1991,Unknown,,Commercial/Industrial,,jet fuel,Petroleum,0,Gallons,0
9900995,BURKE AVENUE BCP SITE,904-910 BURKE AVE,,BRONX,Bronx,,301,2,4/26/1999,4/26/1999,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1505623,BUSINESS BRINKS,652 KENT AVE,,BROOKLYN,Kings,,2401,2,8/25/2015,8/25/2015,Tank Test Failure,,Commercial/Industrial,,diesel,Petroleum,0,,0
1605036,BUSINESS JFK AIRPORT BLD. # 110,147TH  AVE,,JAMACA,Queens,,4101,2,8/16/2016,8/16/2016,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,5,Gallons,0
1601242,BUSINESS MEDALION TAXI - PHASE-II,42-50 24TH STREET,,LONG ISLAND CITY,Queens,,4101,2,5/6/2016,5/6/2016,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,,0
1303524,BUSINESS TTF,4422 3RD AVENUE,,BRONX,Bronx,,301,2,7/2/2013,7/2/2013,Equipment Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
1803047,BUSINESS,1300 209TH ST,,BAYSIDE,Queens,,4101,2,6/19/2018,6/19/2018,Equipment Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,,0
512409,BUSINESS,28-11 QUEENS PLAZA NORTH,,LONG ISLAND,Queens,11101,4101,2,1/26/2006,1/26/2006,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
1303983,BUSINESS,40-60 OTSEGO ST,,BROOKLYN,Kings,,2401,2,7/15/2013,7/15/2013,Unknown,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
1703343,BUSINESS,3901 8TH AVE,,BROOKLYN,Kings,,2401,2,7/6/2017,7/6/2017,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,,0
1300558,C AND L SALES CORP,885-895 SHEPHERD AVE,CONTAMINATED SOIL TESTS,BROOKLYN,Kings,,2401,2,4/17/2013,4/17/2013,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,Gallons,0
9930010,CARBOYS AUTO SALVAGE,70 UNION AVE,,BROOKLYN,Kings,,2401,2,7/28/1999,7/28/1999,Deliberate,,Commercial/Industrial,,motor oil,Petroleum,100,Gallons,0
1609215,CAROL GARDENS,820 THIERIOT AVE,,BRONX,Bronx,,301,2,1/3/2017,1/4/2017,Equipment Failure,,Private Dwelling,,#6 fuel oil,Petroleum,0,,0
9902856,CAROLEI REALTY,2561 BOSTON RD,AKA 800 ALLERTON AVE,BRONX,Bronx,,301,2,6/11/1999,6/11/1999,Equipment Failure,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9614453,CASTLE OIL ASTORIA TERM,17-10 STEINWAY STREET,,ASTORIA,Queens,,4101,2,3/14/1997,3/14/1997,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",,#6 fuel oil,Petroleum,0,Gallons,0
8810165,CATHEDRAL PL & BRIDGE ST,CATHEDRAL PL & BRIDGE ST,,BROOKLYN,Kings,,2401,2,5/4/1988,5/4/1995,Equipment Failure,,Commercial/Industrial,,dielectric fluid,Petroleum,"2,200",Gallons,0
902463,CATHOLIC GUARDIAN SOCIETY,743 EAST 243RD ST,,BRONX,Bronx,,301,2,6/1/2009,6/1/2009,Unknown,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
613234,CENTRAL PARK POLICE,86TH STREET & TRANSVERSE ROAD,,NEW YORK,New York,,3101,2,3/9/2007,3/9/2007,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,0,Gallons,0
9900878,"CENTRAL REPAIR SHOP Q2,Q3,Q4, DOS -DDC",52-35 58TH STREET,,MASPETH,Queens,,4101,2,4/23/1999,4/23/1999,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,Gallons,0
1709367,CERTIFIED LUMBER,470 KENT AVE,,BROOKLYN,Kings,,2401,2,1/11/2018,1/12/2018,Housekeeping,,Commercial/Industrial,,waste oil/used oil,Petroleum,2,Gallons,0
9502503,CFI - GAS STATION,920 RICHMOND AVE,1806-1810 FOREST AVE,STATEN ISLAND,Richmond,,4301,2,5/30/1995,5/30/1995,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
8706242,CFI STATION - EXXONMOBIL,1550 BEDFORD AVENUE,,BROOKLYN,Kings,,2401,2,10/23/1987,10/23/1987,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9602411,CFI STATION - EXXONMOBIL,137-21 LIBERTY AV,,QUEENS,Queens,,4101,2,5/20/1996,5/20/1996,Other,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9513957,CFI STATION - EXXONMOBIL,219-02 HORACE HARDING,,BAYSIDE,Queens,,4101,2,1/26/1996,2/1/1996,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9604417,CFI STATION - EXXONMOBIL,6743 FOURTH AVE,,BROOKLYN,Kings,,2401,2,7/2/1996,7/2/1996,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1309195,CHARLES H GAY SHELTER,1 KEENER BUILDING,1 SCHWARTZ BUILDING,WARDS ISLAND,New York,,3101,2,12/16/2013,12/16/2013,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,,0
9912665,CHARLES POLETTI PLANT,31-03 20TH AVENUE,,ASTORIA,Queens,,4101,2,2/7/2000,2/7/2000,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",,unknown petroleum,Petroleum,0,Gallons,0
9909102,CHAUDHRY CORPORATION/GULF STATION,149 VICTORY BLVD,,STATEN ISLAND,Richmond,,4301,2,10/27/1999,10/27/1999,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1411925,CHELSEA MARKET,75 9TH AVE,,MANHATTAN,New York,10011,3101,2,3/20/2015,3/20/2015,Equipment Failure,GROUND WATER,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
1706813,CHERRY STREET SUBSTATION,242 CHERRY STREET,,MANHATTAN,New York,10002,3101,2,10/12/2017,10/12/2017,Equipment Failure,,Commercial Vehicle,,transformer oil,Petroleum,"10,000",Gallons,0
1310509,CHURCH OF THE MEDIATOR,260 WEST 231ST ST,,BRONX,Bronx,,301,2,1/31/2014,2/3/2014,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
1704198,CHURCH RECTORY- TTF,595 MINNIEFORD AVE,,BRONX,Bronx,,301,2,7/28/2017,7/28/2017,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
1511665,CHURCH SCHOOL,71 ARDEN ST,,NEW YORK,New York,,3101,2,3/8/2016,3/8/2016,Equipment Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
1203111,CHURCH TTF,1603 BROOKLYN AVE, ,BROOKLYN,Kings,,2401,2,6/28/2012,6/28/2012,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,,0
1607372,CHURCH,179 NICHOLS AVE,,BROOKLYN,Kings,,2401,2,10/27/2016,10/27/2016,Equipment Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,,0
9900619,CICERO'S (SUNOCO) GAS STATION,1650 FOREST AVENUE,,STATEN ISLAND,Richmond,,4301,2,3/12/1999,4/16/1999,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,400,Gallons,400
1710789,CITBANK,2501 JACKSON AVE,,LONG ISLAND CITY,Queens,,4101,2,3/1/2018,3/1/2018,Equipment Failure,,Commercial Vehicle,,diesel,Petroleum,0,,0
9506296,CITGO GAS,50-35 NORTHERN BLVD,,QUEENS,Queens,,4101,2,8/22/1995,8/22/1995,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9803529,CITGO GASOLINE -MTBE,90-71 PITKIN AVE,,OZONE PARK,Queens,,4101,2,6/19/1998,6/19/1998,Other,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
8902334,CITGO SERVICE STA,784 JAMAICA AVE,,BROOKLYN,Kings,,2401,2,6/6/1989,6/6/1989,Tank Test Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Pounds,0
8902334,CITGO SERVICE STA,784 JAMAICA AVE,,BROOKLYN,Kings,,2401,2,6/6/1989,6/6/1989,Tank Test Failure,,Gasoline Station or other PBS Facility,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
9512911,CITGO SERVICE STATION,131-07 MERRICK BLVD,,ROCHDALE VILLAGE,Queens,,4101,2,1/17/1996,1/17/1996,Equipment Failure,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
9512911,CITGO SERVICE STATION,131-07 MERRICK BLVD,,ROCHDALE VILLAGE,Queens,,4101,2,1/17/1996,1/17/1996,Equipment Failure,,Gasoline Station or other PBS Facility,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
1800545,CITGO STATION #17,1780 CONEY ISLAND AVE,,BROOKLYN,Kings,,2401,2,4/16/2018,4/16/2018,Tank Test Failure,,Gasoline Station or other PBS Facility,,diesel,Petroleum,0,,0
9507227,CITGO/ 594 BROADWAY,594 BROADWAY,,BROOKLYN,Kings,,2401,2,8/31/1995,9/13/1995,Unknown,,Gasoline Station or other PBS Facility,,waste oil/used oil,Petroleum,0,Gallons,0
9507227,CITGO/ 594 BROADWAY,594 BROADWAY,,BROOKLYN,Kings,,2401,2,8/31/1995,9/13/1995,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1103065,CITY COLLEGE OF NEW YORK - TTF,135 AMSTERDAM AVE,,NEW YORK,New York,,3101,2,6/1/2011,6/17/2011,Tank Test Failure,,Commercial/Industrial,,diesel,Petroleum,0,,0
1103065,CITY COLLEGE OF NEW YORK - TTF,135 AMSTERDAM AVE,,NEW YORK,New York,,3101,2,6/1/2011,6/17/2011,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
607128,CITY GAS & EMPIRE LUBE,745 PORT RICHMOND AVENUE,,STATEN ISLAND,Richmond,,4301,2,9/19/2006,9/21/2006,Other,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1109979,CITY LANDS AUTO REPAIR - TTF,2575 BOSTON POST RD,,BRONX,Bronx,,301,2,11/9/2011,11/9/2011,Tank Test Failure,,Gasoline Station or other PBS Facility,,waste oil/used oil,Petroleum,0,,0
9805838,CITYGAS STATION,327 HAMILTON AVENUE,,BROOKLYN,Kings,11231,2401,2,8/11/1998,8/11/1998,Other,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
403459,CITYGAS STATION,2509 VICTORY BLVD,VICTORY BLVD AND WILLOUGHBY,STATEN ISLAND,Richmond,,4301,2,6/30/2004,6/30/2004,Unknown,,Tank Truck,,gasoline,Petroleum,15,Gallons,0
104572,CJ'S SERVICE CENTER/GULF STATION,5801 AMBOY ROAD,,STATEN ISLAND,Richmond,,4301,2,7/26/2001,7/30/2001,Unknown,,Gasoline Station or other PBS Facility,,gasoline,Petroleum,0,Gallons,0
1214682,CLEM SNACKS WAREHOUSE,29 53RD ST,,BROOKLYN,Kings,,2401,2,1/16/2013,1/16/2013,Unknown,,Commercial/Industrial,,chlorinated solvents,Other,0,,0
407754,CLIN HAM CORP,354 HAMILTON AVE, ,BROOKLYN,Kings,,2401,2,10/12/2004,10/13/2004,Unknown,,"Institutional, Educational, Gov., Other",,gasoline,Petroleum,0,Gallons,0
9803444,CLINTON HOUSES (108 ST) -NYCHA,1485 PARK AVENUE,,NEW YORK CITY,New York,,3101,2,6/17/1998,6/17/1998,Unknown,,Private Dwelling,,#2 fuel oil,Petroleum,0,Gallons,0
9608479,CLINTON HOUSES -NYCHA,1405 PARK AVE,,NY,New York,,3101,2,10/8/1996,10/8/1996,Tank Test Failure,,"Institutional, Educational, Gov., Other",,#2 fuel oil,Petroleum,0,Gallons,0
9811237,COCA COLA BOTTLING,977 EAST 149TH ST,,BRONX,Bronx,,301,2,12/7/1998,12/7/1998,Equipment Failure,,Commercial/Industrial,,diesel,Petroleum,0,Gallons,0
1702039,COLLAGE POINT YARD,124-15 31ST AVE,,FLISHING,Queens,,4101,2,6/1/2017,6/1/2017,Equipment Failure,,Commercial Vehicle,,hydraulic oil,Petroleum,3,Gallons,0
1113487,COLLEGE OF MT.ST VINCENT,6301 RIVERDALE AVENUE,6301 RIVERDALE AVENUE,RIVERDALE,Bronx,,301,2,2/29/2012,2/29/2012,Unknown,,"Institutional, Educational, Gov., Other",,#4 fuel oil,Petroleum,0,Gallons,0
9805557,COLLEGE POINT BUS FACILITY - MTA BUS,124-15 28TH AVE,,FLUSHING,Queens,11354,4101,2,8/4/1998,8/4/1998,Equipment Failure,,Commercial/Industrial,,diesel,Petroleum,0,Gallons,0
506154,COLUMBIA UNIVERSITY,615 WEST 131ST STREET LLC, ,NEW YORK CITY,New York,,3101,2,8/18/2005,8/18/2005,Unknown,,Unknown,,unknown material,Other,0,Gallons,0
9004604,COLUMBIA UNIVERSITY,530 WEST 120TH STREET,GROVE AREA COURT YARD,NEW YORK,New York,,3101,2,7/25/1990,7/25/1990,Tank Test Failure,,"Non Major Facility > 1,100 gal",,#6 fuel oil,Petroleum,0,Gallons,0
1500740,COMM SITE,100 FERRIS ST,,BROOKLYN,Kings,,2401,2,4/21/2015,4/21/2015,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
313150,COMM. BUILDING,475 RIVERSIDE DR.,,MANHATTAN,New York,,3101,2,2/27/2004,3/1/2004,Equipment Failure,,Commercial/Industrial,,#4 fuel oil,Petroleum,10,Gallons,10
9211217,COMMAND BUS CO.,626 WORTMAN AVENUE,,BROOKLYN,Kings,,2401,2,12/29/1992,12/29/1992,Tank Test Failure,,Commercial/Industrial,,kerosene,Petroleum,0,Pounds,0
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,4101,2,2/12/1998,2/13/1998,Unknown,,Commercial/Industrial,,diesel,Petroleum,0,Gallons,0
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,4101,2,2/12/1998,2/13/1998,Unknown,,Commercial/Industrial,,gasoline,Petroleum,0,Gallons,0
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,4101,2,2/12/1998,2/13/1998,Unknown,,Commercial/Industrial,,MTBE (methyl-tert-butyl ether),Hazardous Material,0,,0
1610898,COMMERCAL,23-10 QUEENS PLAZA SOUTH,,LONG ISLAND CITY,Queens,,4101,2,3/6/2017,3/6/2017,Equipment Failure,,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
1607519,COMMERCIAL - PHASE II,1931 WEST FARMS RD,,BRONX,Bronx,,301,2,11/1/2016,11/1/2016,Other,,Commercial/Industrial,,gasoline,Petroleum,0,,0
1705848,COMMERCIAL - TTF,401 EAST 141ST ST,,BRONX,Bronx,,301,2,9/14/2017,9/14/2017,Tank Test Failure,,Commercial/Industrial,,#2 fuel oil,Petroleum,0,,0
1611097,COMMERCIAL BUILDING - PHASE II,177 BAYARD STREET,,BROOKLYN,Kings,,2401,2,3/10/2017,3/10/2017,Unknown,,Commercial/Industrial,,cleaning chemicals/products,Other,0,,0
1611059,COMMERCIAL BUILDING - PHASE II,1325 SOUTHERN BLVD,,BRONX,Bronx,,301,2,3/9/2017,3/9/2017,Unknown,,Commercial/Industrial,,unknown petroleum,Petroleum,0,,0
